nom_agence;adresse_1;adresse_2;ville;code_postal;telephone;email;adherent_plateforme;date_debut_contrat;date_fin_contrat;statut_contrat;region;type_agence;nom_reseau;secteur_activite;nombre_agents;nombre_transactions;commentaires;contact_principal_nom;contact_principal_prenom;contact_facturation_nom;contact_facturation_prenom
Morvan et Fils;rue Boyer;;Saint Aimé;58809;0327869656;gabriellevy@diallo.com;oui;2025-02-07;2026-11-15;actif;Poitou-Charentes;indépendante;;agricole;1;118;Celui chien ligne école voisin gris nuage. Loin menacer suite fruit rompre.;Brun;Maurice;Ramos;Lucy
Lemaire;642, avenue Constance Lemonnier;;Martin;87291;+33 (0)5 16 35 62 51;adriennemathieu@bousquet.fr;oui;2024-01-12;2026-01-14;actif;Nouvelle-Calédonie;franchise;Blanc;atypique;42;276;;Gomez;Théophile;Lemonnier;Victor
Ribeiro Lebon SARL;34, rue de Boutin;;Saint Philippe-la-Forêt;46644;+33 4 88 00 92 50;helenemichaud@roux.fr;non;;;inactif;Languedoc-Roussillon;franchise;Buisson S.A.R.L.;mixte;19;440;;Carpentier;Jean;;
Hebert François S.A.;896, chemin Olivier Martel;;Jacquesnec;94888;+33 2 85 72 63 79;davidpaul@da.org;oui;2024-05-12;2024-06-22;actif;Réunion;réseau;Mace;commercial;29;408;;Brun;Maurice;Brun;Maurice
Olivier;5, rue de Grondin;;Sainte Édith;20243;06 33 94 72 88;celinegilles@lesage.fr;non;;;inactif;Limousin;franchise;Marty Payet S.A.R.L.;commercial;18;425;;Petit;Arnaude;;
Lucas et Fils;20, boulevard Jeanne Legros;;Delaunay;41290;+33 3 89 68 41 80;hbenoit@levy.com;non;;;inactif;Corse;indépendante;;mixte;43;8;"Sembler classe condamner on éclater.
Verre lutte précieux près garde. Vent adresser clair fixer.";Besnard;Émilie;Besnard;Émilie
Moreno;65, chemin François;;TanguyVille;30142;0534385924;alexandrie06@alexandre.fr;non;;;inactif;Bretagne;indépendante;;autre;41;18;;Gomez;Théophile;Gomez;Théophile
Blin Fernandes et Fils;avenue de Bousquet;;Merle;79631;01 41 32 00 47;edouard16@leveque.fr;non;;;inactif;Picardie;franchise;Boyer;mixte;29;143;;Carpentier;Jean;Clerc;Antoinette
Goncalves S.A.;64, avenue de Collet;;Guérin-la-Forêt;39867;0458967535;dlombard@toussaint.com;oui;2025-05-26;2026-07-08;actif;Franche-Comté;franchise;Benard Guillot et Fils;mixte;13;171;;Hoareau;Élodie;;
Dupuis;3, rue de Tanguy;;Gérard;73861;+33 4 49 47 67 44;marianne18@aubert.fr;oui;2025-08-16;;actif;Île-de-France;réseau;Carlier;commercial;15;282;;Leroy;François;;
